STATES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Andhra Pradesh,122605.8,147935.2,254283,229333.8,264451,307671.5,353021,380548.5,428715.7,485490.8
Arunachal Pradesh,6164.8,5717.1,5669.6,6968.7,8430.5,12125.1,14077.4,15924.6,18850.4,21654.2
Assam,35459.1,41963.7,44036.5,49309.8,59796.4,73527.8,89709.1,102366.3,126281.4,150900.4
Bihar,99398.6,116774.8,139069.3,156980.5,169045.4,193534.3,227425.9,257634.7,293850.5,319618.3
Chhattisgarh,31088.4,39264.9,43397,55049.5,68981.5,86005.7,100016.1,106451.1,109664.1,122164.1
Goa,14086.9,15650.9,16903.1,18641.9,20500.2,22645.7,26612.6,29209.2,30743.2,34758.4
Gujarat,202510.9,231505.4,243357.3,268263.2,298755.1,329351.8,363647,388582.8,421018.2,467464.4
Haryana,92667.4,123854.1,149412.3,167262.1,187635.8,219245.9,246279,279453.3,305586.9,336253
Himachal Pradesh,38182.4,41197.3,47244.4,51030.4,54303.3,62218.4,68896,73541.4,86639.2,94992.2
Jharkhand,43742,57049.1,67349.8,77585.7,83878.2,94504.5,109270.6,113568.1,118855.5,131455.6
Karnataka,158370.2,185698.4,211169.1,245950.6,286328.7,338665.7,421503.8,503987.7,535408.1,597618.4
Kerala,143556.8,162271.5,191622.9,216499.4,243745.7,267585.4,310856.2,360036.9,389312.3,429270.6
Madhya Pradesh,108753.3,127714.1,156065.7,173137,195178.3,211489,290859.3,325193,365624.4,418056
Maharashtra,321806.2,351440.8,396001,432479.4,438841.8,480955.2,548348.2,606407.1,653197,722887.3
Manipur,7391.5,8146.7,8831.4,9564.9,10463,11405.8,13060.5,15334,17376.4,19245.8
Meghalaya,6912.1,7524.6,9244.2,10157.5,11348.4,12320.7,14704.9,16927.6,18845.1,20029.9
Mizoram,7007.8,7076.1,6680.5,7547,7638.7,9001.4,10217.1,10953.7,12880,14039.3
Nagaland,7946.2,8923.4,9562.2,10399.2,11639.5,13836.1,15254,15834.5,17085.2,18165.8
Odisha,50877.6,65217.9,71984.4,103065.7,105685.1,143800.3,141239.6,139002.4,129872.9,120986.9
Punjab,112393.2,134130.2,182584,195174.1,211940.1,229629.9,259266,284923.2,316346.1,351130.2
Rajasthan,148090.6,209861.4,255472.1,281663.1,311853.6,353182,411001.4,463832.8,499529,562494.9
Sikkim,3499.9,4338.3,4688.5,5910.9,6850.4,7954,9655.7,11482.2,13331.4,15529.5
Tamil Nadu,185610.6,228516.1,283620.2,326636,401503.8,462201.8,568892.7,667974.9,741497.7,834543.5
Telangana,72658.1,90523.4,81820.9,160296.3,190202.7,225418,271259,314852.9,352061,389672.5
Tripura,9327.2,10354.1,11851.5,13383.7,15085.5,18178.9,21490.5,22438.6,23360.5,26505.8
Uttar Pradesh,314072.1,385337.1,473348.2,517584.9,567777,549559.2,600109.5,646321.3,693577.1,769245.3
Uttarakhand,34036.8,40291.5,44508,53071.1,59386.6,67544.7,75248.9,78952.1,80120.4,89466
West Bengal,277318.2,314741.6,337610.7,371071.5,404735.9,445790.4,497266.1,548235.9,596725.2,658426.2
Jammu and Kashmir,48224.8,55106.3,61969.2,67887.3,78776.6,88719.2,55753.8,68108.9,73175,77487.9
NCT Delhi,32497.9,33303.9,33344.8,3326.4,3406.4,3631.4,9496.4,15689.1,14225.2,19184.9
Puducherry,7013,7800.1,15856.8,7263.6,8604.2,9016.5,10561.6,12410,12371.8,13215.1
