STATES ,Population
Andhra Pradesh,84580777
Arunachal Pradesh,1383727
Assam,31205576
Bihar,104099452
Chhattisgarh,25545198
Goa,1458545
Gujarat,60439692
Haryana,25351462
Himachal Pradesh,6864602
Jharkhand,32988134
Karnataka,61095297
Kerala,33406061
Madhya Pradesh,72626809
Maharashtra,112374333
Manipur,2721756
Meghalaya,2966889
Mizoram,1097206
Nagaland,1978502
Odisha,41974218
Punjab,27743338
Rajasthan,68548437
Sikkim,610577
Tamil Nadu,72147030
Telangana,35004000
Tripura,3673917
Uttar Pradesh,199812341
Uttarakhand,10086292
West Bengal,91276115
Jammu and Kashmir,12541302
NCT Delhi,16787941
Puducherry,1247953
