STATES,L-2015,L-2016,L-2017,L-2018,L-2019,L-2020,L-2021,L-2022,L-2023,L-2024,P-2015,P-2016,P-2017,P-2018,P-2019,P-2020,P-2021,P-2022,P-2023,P-2024,Debt_Per_Person_2015,Debt_Per_Person_2016,Debt_Per_Person_2017,Debt_Per_Person_2018,Debt_Per_Person_2019,Debt_Per_Person_2020,Debt_Per_Person_2021,Debt_Per_Person_2022,Debt_Per_Person_2023,Debt_Per_Person_2024,Area(km^2),p_density,avg_debt,lit_rate_%
Andhra Pradesh,122605.8,147935.2,254283.0,229333.8,264451.0,307671.5,353021.0,380548.5,428715.7,485490.8,88015095.72,88895246.67,89784199.14,90682041.13,91588861.54,92504750.16,93429797.66,94364095.64,95307736.59,96260813.96,13930.087673828413,16641.519714678354,28321.575782337597,25289.88068003802,28873.707517862877,33260.07577641567,37784.62640844812,40327.679444075475,44982.25593629114,50434.93608954312,162975,308,297405.63,67.02
Arunachal Pradesh,6164.8,5717.1,5669.6,6968.7,8430.5,12125.1,14077.4,15924.6,18850.4,21654.2,1439911.865,1454310.984,1468854.093,1483542.634,1498378.061,1513361.841,1528495.46,1543780.414,1559218.218,1574810.401,42813.73151960242,39311.399438622415,38598.79634756888,46973.371983322446,56264.17136923096,80120.29688807252,92099.71745679899,103153.2713822861,120896.48377877021,137503.5368464016,83743,17,11558.240000000002,65.38
Assam,35459.1,41963.7,44036.5,49309.8,59796.4,73527.8,89709.1,102366.3,126281.4,150900.4,32472647.52,32797374.0,33125347.74,33456601.21,33791167.22,34129078.9,34470369.69,34815073.38,35163224.12,35514856.36,10919.682473737515,12794.835342610051,13293.898179014257,14738.436725982066,17695.866973369382,21544.032939019635,26024.989231845982,29402.86779886718,35912.91844258791,42489.37359351324,78438,397,77335.05,72.19
Bihar,99398.6,116774.8,139069.3,156980.5,169045.4,193534.3,227425.9,257634.7,293850.5,319618.3,108326307.2,109409570.3,110503666.0,111608702.6,112724789.7,113852037.5,114990557.9,116140463.5,117301868.1,118474886.8,9175.85049922204,10673.179656935368,12585.039486382288,14065.256233880817,14996.293224399778,16998.75595111769,19777.789077062993,22183.02667614203,25050.794566160876,26977.72571326061,94163,1102,197333.22999999998,61.8
Chhattisgarh,31088.4,39264.9,43397.0,55049.5,68981.5,86005.7,100016.1,106451.1,109664.1,122164.1,26582435.48,26848259.83,27116742.43,27387909.85,27661788.95,27938406.84,28217790.91,28499968.82,28784968.51,29072818.19,11695.090927010877,14624.746724227454,16003.765980381444,20099.927413774512,24937.468840025984,30784.03879381692,35444.34088373504,37351.30402153191,38097.69670649537,42020.04057591501,135192,189,76208.23999999999,70.28
Goa,14086.9,15650.9,16903.1,18641.9,20500.2,22645.7,26612.6,29209.2,30743.2,34758.4,1517767.776,1532945.454,1548274.908,1563757.657,1579395.234,1595189.186,1611141.078,1627252.489,1643525.014,1659960.264,92813.27633088449,102096.91388014644,109173.7643790582,119212.20603813806,129797.78309246185,141962.4719045707,165178.5828279899,179500.1095247979,187056.47762048602,209392.96411977248,3702,394,22975.21,88.7
Gujarat,202510.9,231505.4,243357.3,268263.2,298755.1,329351.8,363647.0,388582.8,421018.2,467464.4,62893785.86,63522723.72,64157950.95,64799530.46,65447525.77,66102001.03,66763021.04,67430651.25,68104957.76,68786007.34,32198.872628018325,36444.501501611616,37930.96512537547,41398.94195153092,45648.03580962018,49824.78516051664,54468.32607861269,57627.02759006795,61819.02373152576,67959.22863924726,196024,308,321445.61,78.03
Haryana,92667.4,123854.1,149412.3,167262.1,187635.8,219245.9,246279.0,279453.3,305586.9,336253.0,26380833.02,26644641.35,26911087.76,27180198.64,27452000.62,27726520.63,28003785.84,28283823.7,28566661.93,28852328.55,35126.79070056143,46483.6806669946,55520.72117355392,61538.218397656274,68350.50115192661,79074.4366831144,87944.89481069392,98803.2251099062,106973.26161131912,116542.75994302718,44212,573,210764.98000000004,75.55
Himachal Pradesh,38182.4,41197.3,47244.4,51030.4,54303.3,62218.4,68896.0,73541.4,86639.2,94992.2,7143332.368,7214765.692,7286913.349,7359782.482,7433380.307,7507714.11,7582791.251,7658619.164,7735205.355,7812557.409,53451.80377024842,57101.369273407036,64834.58460019078,69336.83179469814,73053.30516839384,82872.62819068639,90858.36299517563,96024.35951599172,112006.33470447792,121589.12252032835,55673,123,61824.5,82.8
Jharkhand,43742.0,57049.1,67349.8,77585.7,83878.2,94504.5,109270.6,113568.1,118855.5,131455.6,34327584.52,34670860.37,35017568.97,35367744.66,35721422.11,36078636.33,36439422.69,36803816.92,37171855.09,37543573.64,12742.521972239248,16454.480618935966,19233.14552694947,21936.852560391675,23481.204007417942,26194.03325990398,29986.91854412582,30857.696158760264,31974.594679826616,35014.14150408512,79716,414,89725.91,66.41
Karnataka,158370.2,185698.4,211169.1,245950.6,286328.7,338665.7,421503.8,503987.7,535408.1,597618.4,63576011.05,64211771.16,64853888.87,65502427.76,66157452.04,66819026.56,67487216.82,68162088.99,68843709.88,69532146.98,24910.370654655915,28919.681959447138,32560.74595978195,37548.318193817126,43279.88626691374,50684.02181763242,62456.83551067502,73939.59126956036,77771.53510949053,85948.5038153499,191791,319,348470.07,75.36
Kerala,143556.8,162271.5,191622.9,216499.4,243745.7,267585.4,310856.2,360036.9,389312.3,429270.6,34762481.03,35110105.85,35461206.9,35815818.97,36173977.16,36535716.93,36901074.1,37270084.84,37642785.69,38019213.55,41296.477048375964,46217.88971336866,54037.33170739882,60447.982546858395,67381.50436759993,73239.40036887077,84240.42052477816,96602.1144157932,103422.81870584907,112908.85842113901,38863,859,271475.77,94.0
Madhya Pradesh,108753.3,127714.1,156065.7,173137.0,195178.3,211489.0,290859.3,325193.0,365624.4,418056.0,75575748.68,76331506.17,77094821.23,77865769.44,78644427.13,79430871.41,80225180.12,81027431.92,81837706.24,82656083.3,14389.97322546934,16731.505299471548,20243.344171510962,22235.316140221526,24817.816992597374,26625.541964452685,36255.362663559696,40133.69204654907,44676.76536873574,50577.76552061717,308252,236,237207.01,69.32
